"city_development_index","gender","relevent_experience","enrolled_university","education_level","major_discipline","experience","company_size","company_type","last_new_job","training_hours","target","city","enrollee_id","imputed","n.experience","f.city_development_index"
0.698,"Male","No relevent experience","Part time course","Graduate","STEM","4","Unknown","Other","2",7,"1","city_70",21134,FALSE,4,"[0.691,0.878)"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","100-500","NGO",">4",10,"0","city_103",26098,FALSE,10,"0.920"
0.92,"Other","Has relevent experience","no_enrollment","Graduate","STEM","9","50-99","Pvt Ltd","1",55,"0","city_160",30733,FALSE,9,"0.920"
0.92,"Other","No relevent experience","no_enrollment","Graduate","STEM","13","10000+","Public Sector",">4",13,"0","city_103",15041,FALSE,13,"0.920"
0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","500-999","Pvt Ltd",">4",22,"0","city_16",21029,FALSE,25,"[0.878,0.920)"
0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM",">20","Unknown","Other",">4",66,"1","city_103",23000,FALSE,25,"0.920"
0.913,"Male","No relevent experience","Full time course","Graduate","STEM","2","Unknown","Other","2",84,"0","city_61",306,FALSE,2,"[0.878,0.920)"
0.896,"Male","Has relevent experience","no_enrollment","Graduate","STEM","17","50-99","Pvt Ltd",">4",40,"0","city_50",33170,FALSE,17,"[0.878,0.920)"
0.738,"Male","Has relevent experience","Full time course","Graduate","STEM","3","10000+","Pvt Ltd","1",24,"0","city_123",14455,FALSE,3,"[0.691,0.878)"
0.921,"Male","Has relevent experience","no_enrollment","High School","No Major","14","100-500","Pvt Ltd","1",26,"0","city_167",28459,FALSE,14,"[0.921,0.949]"
0.884,"Male","No relevent experience","no_enrollment","Masters","STEM","1","Unknown","Other","1",206,"0","city_71",16445,FALSE,1,"[0.878,0.920)"
0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","8","<10","Pvt Ltd","1",39,"1","city_21",18330,FALSE,8,"[0.448,0.691)"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","18","10000+","Pvt Ltd",">4",56,"0","city_103",11039,FALSE,18,"0.920"
0.92,"Other","No relevent experience","no_enrollment","Primary School","No Major","2","10/49","Other","1",103,"0","city_103",23198,FALSE,2,"0.920"
0.92,"Other","No relevent experience","Full time course","Masters","STEM","7","<10","Early Stage Startup","1",80,"0","city_103",16117,FALSE,7,"0.920"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","5","100-500","Pvt Ltd","2",26,"0","city_103",12344,FALSE,5,"0.920"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","14","50-99","Funded Startup","1",72,"0","city_103",11889,FALSE,14,"0.920"
0.897,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15","1000-4999","Pvt Ltd",">4",36,"0","city_136",29865,FALSE,15,"[0.878,0.920)"
0.698,"Male","Has relevent experience","no_enrollment","Graduate","STEM","5","Unknown","Other","1",7,"0","city_76",7665,FALSE,5,"[0.691,0.878)"
0.939,"Female","Has relevent experience","no_enrollment","Graduate","STEM","7","50-99","Pvt Ltd","2",144,"0","city_28",19736,FALSE,7,"[0.921,0.949]"
0.843,"Other","Has relevent experience","no_enrollment","Graduate","STEM","17","50-99","Funded Startup","1",70,"1","city_159",889,FALSE,17,"[0.691,0.878)"
0.92,"Other","Has relevent experience","no_enrollment","Graduate","STEM",">20","10000+","Pvt Ltd",">4",70,"0","city_103",22397,FALSE,25,"0.920"
0.624,"Other","No relevent experience","no_enrollment","Primary School","No Major","4","Unknown","Other","never",6,"1","city_21",18671,FALSE,4,"[0.448,0.691)"
0.939,"Other","Has relevent experience","no_enrollment","Graduate","STEM","14","50-99","Pvt Ltd","1",68,"0","city_28",28708,FALSE,14,"[0.921,0.949]"
0.698,"Male","No relevent experience","no_enrollment","High School","No Major","4","Unknown","Other","never",37,"0","city_24",33230,FALSE,4,"[0.691,0.878)"
0.924,"Male","No relevent experience","Full time course","Graduate","STEM","10","1000-4999","Public Sector","1",11,"0","city_104",7404,FALSE,10,"[0.921,0.949]"
0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","5","<10","Early Stage Startup","1",68,"1","city_21",22614,FALSE,5,"[0.448,0.691)"
0.666,"Male","No relevent experience","Full time course","High School","No Major","2","Unknown","Other","never",44,"1","city_64",24476,FALSE,2,"[0.448,0.691)"
0.624,"Other","Has relevent experience","no_enrollment","Masters","STEM","3","100-500","Pvt Ltd","3",40,"1","city_21",9212,FALSE,3,"[0.448,0.691)"
0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM","2","1000-4999","Pvt Ltd","1",53,"0","city_114",15415,FALSE,2,"[0.921,0.949]"
0.624,"Other","Has relevent experience","Full time course","Masters","STEM","3","50-99","Other","2",34,"0","city_21",19715,FALSE,3,"[0.448,0.691)"
0.92,"Male","Has relevent experience","Full time course","Graduate","STEM","6","5000-9999","Public Sector","1",38,"0","city_103",16069,FALSE,6,"0.920"
0.624,"Other","Has relevent experience","Full time course","Masters","STEM","6","Unknown","Other","1",6,"1","city_21",31813,FALSE,6,"[0.448,0.691)"
0.92,"Other","Has relevent experience","no_enrollment","Graduate","STEM","17","1000-4999","Pvt Ltd","3",17,"0","city_103",26672,FALSE,17,"0.920"
0.866,"Male","No relevent experience","Part time course","Graduate","STEM","12","Unknown","Other","4",81,"0","city_57",106,FALSE,12,"[0.691,0.878)"
0.698,"Male","Has relevent experience","no_enrollment","Graduate","STEM","16","1000-4999","Pvt Ltd","1",14,"0","city_76",4344,FALSE,16,"[0.691,0.878)"
0.767,"Other","Has relevent experience","Part time course","Graduate","STEM","12","Unknown","Other","never",94,"0","city_162",5991,FALSE,12,"[0.691,0.878)"
0.698,"Male","Has relevent experience","no_enrollment","Graduate","No Major","11","Unknown","Other","1",190,"0","city_150",3222,TRUE,11,"[0.691,0.878)"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","7","1000-4999","Pvt Ltd",">4",262,"0","city_103",28414,FALSE,7,"0.920"
0.55,"Other","No relevent experience","Full time course","Graduate","STEM","2","Unknown","Other","never",12,"1","city_11",18027,FALSE,2,"[0.448,0.691)"
0.92,"Other","Has relevent experience","no_enrollment","Graduate","STEM",">20","Unknown","Other",">4",14,"0","city_103",1854,FALSE,25,"0.920"
0.624,"Male","Has relevent experience","Full time course","Graduate","STEM","3","50-99","Other","1",48,"0","city_21",7867,FALSE,3,"[0.448,0.691)"
0.624,"Other","Has relevent experience","no_enrollment","Graduate","STEM","7","<10","Early Stage Startup","1",46,"0","city_21",2395,FALSE,7,"[0.448,0.691)"
0.624,"Other","Has relevent experience","no_enrollment","Masters","STEM","6","10/49","Pvt Ltd","1",18,"1","city_21",12422,FALSE,6,"[0.448,0.691)"
0.855,"Male","No relevent experience","Full time course","High School","No Major","4","1000-4999","Pvt Ltd","1",113,"0","city_67",1351,FALSE,4,"[0.691,0.878)"
0.893,"Other","Has relevent experience","no_enrollment","Masters","STEM",">20","10/49","Pvt Ltd","never",95,"0","city_36",9471,FALSE,25,"[0.878,0.920)"
0.855,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","5000-9999","Pvt Ltd","never",55,"0","city_67",20138,FALSE,25,"[0.691,0.878)"
0.92,"Other","No relevent experience","Part time course","High School","No Major","6","50-99","Funded Startup","1",54,"0","city_103",3500,FALSE,6,"0.920"
0.92,"Other","Has relevent experience","no_enrollment","Graduate","STEM","4","50-99","Funded Startup","1",43,"0","city_160",29568,FALSE,4,"0.920"
0.767,"Other","Has relevent experience","Full time course","Graduate","STEM","10","50-99","Pvt Ltd","2",90,"0","city_162",27972,FALSE,10,"[0.691,0.878)"
0.89,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","100-500","Pvt Ltd",">4",22,"0","city_45",7971,FALSE,25,"[0.878,0.920)"
0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM","7","1000-4999","Public Sector","2",48,"0","city_160",1048,FALSE,7,"0.920"
0.745,"Other","No relevent experience","Part time course","Masters","Business Degree","5","5000-9999","Pvt Ltd",">4",9,"0","city_127",6637,FALSE,5,"[0.691,0.878)"
0.745,"Male","No relevent experience","Full time course","Graduate","STEM","10","Unknown","Other","1",39,"1","city_127",23497,FALSE,10,"[0.691,0.878)"
0.92,"Male","Has relevent experience","Full time course","High School","No Major","5","1000-4999","Pvt Ltd","1",34,"0","city_103",3729,FALSE,5,"0.920"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","1000-4999","Public Sector",">4",33,"0","city_103",27043,FALSE,25,"0.920"
0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15","50-99","Other","2",45,"0","city_16",10778,FALSE,15,"[0.878,0.920)"
0.866,"Male","Has relevent experience","no_enrollment","Graduate","STEM","20","100-500","Pvt Ltd",">4",109,"0","city_57",5409,FALSE,20,"[0.691,0.878)"
0.926,"Male","No relevent experience","Full time course","High School","No Major","2","Unknown","Other","1",5,"0","city_114",14995,FALSE,2,"[0.921,0.949]"
0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM","14","100-500","Pvt Ltd",">4",31,"0","city_103",16882,FALSE,14,"0.920"
0.743,"Male","Has relevent experience","no_enrollment","Masters","STEM","17","Unknown","Other",">4",72,"0","city_116",20229,FALSE,17,"[0.691,0.878)"
0.897,"Other","No relevent experience","Full time course","Masters","STEM","7","Unknown","Pvt Ltd","1",30,"0","city_136",16747,FALSE,7,"[0.878,0.920)"
0.802,"Male","No relevent experience","Full time course","Graduate","STEM","4","Unknown","Other","never",134,"0","city_65",4009,FALSE,4,"[0.691,0.878)"
0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","5","<10","Pvt Ltd","never",102,"1","city_21",33065,FALSE,5,"[0.448,0.691)"
0.624,"Female","Has relevent experience","no_enrollment","Masters","STEM","10","Unknown","Other","1",164,"0","city_21",14558,FALSE,10,"[0.448,0.691)"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","5","100-500","Funded Startup","2",94,"0","city_103",27064,FALSE,5,"0.920"
0.855,"Male","Has relevent experience","no_enrollment","Masters","STEM","12","Unknown","Other","4",42,"0","city_67",4174,FALSE,12,"[0.691,0.878)"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15","10/49","Pvt Ltd",">4",198,"0","city_103",4218,FALSE,15,"0.920"
0.624,"Other","Has relevent experience","Full time course","Graduate","STEM","4","Unknown","Other","1",13,"0","city_21",5603,TRUE,4,"[0.448,0.691)"
0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM","13","10000+","Pvt Ltd","2",70,"0","city_103",10982,FALSE,13,"0.920"
0.855,"Male","No relevent experience","Full time course","High School","No Major","<1","Unknown","Other","1",110,"0","city_67",11073,FALSE,0,"[0.691,0.878)"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","Humanities","5","50-99","Pvt Ltd","1",46,"0","city_103",31403,FALSE,5,"0.920"
0.624,"Other","No relevent experience","Full time course","High School","No Major","3","Unknown","Other","never",17,"1","city_21",17831,FALSE,3,"[0.448,0.691)"
0.722,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","50-99","Pvt Ltd","1",13,"0","city_118",29822,FALSE,10,"[0.691,0.878)"
0.92,"Female","Has relevent experience","no_enrollment","High School","No Major","12","Unknown","NGO","2",16,"0","city_103",8963,FALSE,12,"0.920"
0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","10000+","Pvt Ltd",">4",19,"0","city_103",10421,FALSE,25,"0.920"
0.624,"Male","Has relevent experience","Full time course","Graduate","STEM","3","10/49","Pvt Ltd","1",53,"1","city_21",23321,FALSE,3,"[0.448,0.691)"
0.939,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","10000+","Pvt Ltd",">4",102,"0","city_75",1472,FALSE,25,"[0.921,0.949]"
0.666,"Male","Has relevent experience","no_enrollment","Graduate","STEM","2","5000-9999","Pvt Ltd","1",124,"0","city_64",13966,FALSE,2,"[0.448,0.691)"
0.92,"Other","Has relevent experience","no_enrollment","Graduate","STEM","8","100-500","Public Sector","2",9,"0","city_103",6895,FALSE,8,"0.920"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","<10","Early Stage Startup","1",23,"0","city_103",135,FALSE,25,"0.920"
0.624,"Other","No relevent experience","no_enrollment","Masters","STEM","2","50-99","Early Stage Startup","1",10,"1","city_21",31820,FALSE,2,"[0.448,0.691)"
0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","50-99","Pvt Ltd","1",20,"1","city_21",32830,FALSE,6,"[0.448,0.691)"
0.92,"Female","Has relevent experience","no_enrollment","Masters","STEM",">20","50-99","Public Sector",">4",108,"0","city_160",33023,FALSE,25,"0.920"
0.624,"Female","No relevent experience","Full time course","High School","No Major","3","Unknown","Other","never",42,"1","city_21",23293,FALSE,3,"[0.448,0.691)"
0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM","19","Unknown","Other",">4",16,"0","city_114",18877,FALSE,19,"[0.921,0.949]"
0.624,"Other","No relevent experience","Full time course","High School","No Major","<1","Unknown","Other","never",26,"1","city_21",27238,FALSE,0,"[0.448,0.691)"
0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM","14","50-99","Pvt Ltd","2",86,"0","city_21",20618,FALSE,14,"[0.448,0.691)"
0.926,"Male","Has relevent experience","Full time course","Graduate","STEM","8","50-99","Pvt Ltd","1",41,"0","city_114",26945,FALSE,8,"[0.921,0.949]"
0.899,"Male","Has relevent experience","no_enrollment","High School","No Major","9","100-500","Funded Startup","1",134,"0","city_23",1056,FALSE,9,"[0.878,0.920)"
0.92,"Male","Has relevent experience","Full time course","Graduate","STEM","6","Unknown","Other","1",32,"1","city_160",26364,FALSE,6,"0.920"
0.74,"Male","No relevent experience","no_enrollment","Graduate","STEM","3","10000+","Pvt Ltd","3",92,"0","city_143",23694,FALSE,3,"[0.691,0.878)"
0.913,"Other","Has relevent experience","no_enrollment","Graduate","STEM","16","50-99","Pvt Ltd","3",64,"0","city_61",3611,FALSE,16,"[0.878,0.920)"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","10/49","Pvt Ltd","3",94,"0","city_103",11775,FALSE,25,"0.920"
0.92,"Other","Has relevent experience","no_enrollment","Graduate","STEM","9","10000+","Pvt Ltd","2",149,"0","city_103",24773,FALSE,9,"0.920"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","14","Unknown","Pvt Ltd","1",22,"0","city_160",11351,FALSE,14,"0.920"
0.92,"Other","Has relevent experience","no_enrollment","Graduate","STEM","7","500-999","Funded Startup","2",99,"0","city_103",7534,FALSE,7,"0.920"
0.68,"Male","No relevent experience","no_enrollment","Graduate","Business Degree","10","10/49","Pvt Ltd","never",22,"0","city_131",328,FALSE,10,"[0.448,0.691)"
0.689,"Other","Has relevent experience","Full time course","Graduate","STEM","1","Unknown","Other","1",18,"1","city_149",24055,FALSE,1,"[0.448,0.691)"
0.92,"Female","No relevent experience","Full time course","Graduate","STEM","4","10/49","Other","4",53,"0","city_103",18186,FALSE,4,"0.920"
0.624,"Other","Has relevent experience","no_enrollment","Graduate","STEM","2","<10","Funded Startup","1",35,"0","city_21",26459,TRUE,2,"[0.448,0.691)"
0.624,"Female","No relevent experience","no_enrollment","Graduate","STEM","6","<10","Pvt Ltd","1",154,"1","city_21",18645,FALSE,6,"[0.448,0.691)"
0.727,"Other","Has relevent experience","Full time course","High School","No Major","4","Unknown","Other","never",143,"0","city_142",11268,FALSE,4,"[0.691,0.878)"
0.925,"Male","Has relevent experience","no_enrollment","Masters","STEM","16","100-500","Pvt Ltd",">4",67,"0","city_97",25846,FALSE,16,"[0.921,0.949]"
0.878,"Other","Has relevent experience","no_enrollment","Masters","STEM",">20","<10","Pvt Ltd","2",4,"0","city_173",6604,FALSE,25,"[0.878,0.920)"
0.897,"Other","Has relevent experience","no_enrollment","Masters","STEM","5","5000-9999","Pvt Ltd","never",15,"0","city_136",25333,FALSE,5,"[0.878,0.920)"
0.92,"Male","No relevent experience","Full time course","Graduate","Humanities","2","Unknown","Other","1",49,"1","city_103",12319,FALSE,2,"0.920"
0.92,"Male","Has relevent experience","no_enrollment","High School","No Major","12","100-500","Public Sector","4",88,"0","city_160",13523,FALSE,12,"0.920"
0.91,"Female","Has relevent experience","no_enrollment","Graduate","STEM","11","<10","Early Stage Startup","1",66,"0","city_16",29456,FALSE,11,"[0.878,0.920)"
0.624,"Other","Has relevent experience","no_enrollment","Graduate","STEM","4","Unknown","Pvt Ltd","never",2,"1","city_21",18377,FALSE,4,"[0.448,0.691)"
0.558,"Male","No relevent experience","no_enrollment","Graduate","STEM","4","50-99","Pvt Ltd","1",53,"1","city_101",311,FALSE,4,"[0.448,0.691)"
0.92,"Male","Has relevent experience","Full time course","High School","No Major","4","Unknown","Other","1",154,"0","city_160",12190,FALSE,4,"0.920"
0.91,"Female","Has relevent experience","no_enrollment","Graduate","STEM","8","1000-4999","Other","1",90,"0","city_16",25932,FALSE,8,"[0.878,0.920)"
0.915,"Male","No relevent experience","Full time course","Graduate","STEM","3","Unknown","Other","1",16,"1","city_99",1051,FALSE,3,"[0.878,0.920)"
0.91,"Male","Has relevent experience","no_enrollment","Masters","STEM","16","<10","Early Stage Startup","1",163,"0","city_16",17905,FALSE,16,"[0.878,0.920)"
0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM","5","100-500","Funded Startup","1",18,"0","city_114",17161,FALSE,5,"[0.921,0.949]"
0.624,"Other","No relevent experience","Full time course","Masters","STEM","20","10000+","Pvt Ltd","1",27,"1","city_21",24009,FALSE,20,"[0.448,0.691)"
0.855,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","50-99","Pvt Ltd","3",138,"0","city_67",11336,FALSE,10,"[0.691,0.878)"
0.878,"Male","Has relevent experience","no_enrollment","Masters","STEM","11","100-500","Pvt Ltd","1",24,"1","city_173",5789,FALSE,11,"[0.878,0.920)"
0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","5","100-500","Pvt Ltd","2",104,"1","city_21",30990,FALSE,5,"[0.448,0.691)"
0.887,"Male","Has relevent experience","no_enrollment","Graduate","STEM","18","10/49","Pvt Ltd","1",37,"0","city_100",18628,FALSE,18,"[0.878,0.920)"
0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM","6","10/49","Pvt Ltd","1",8,"1","city_21",24082,FALSE,6,"[0.448,0.691)"
0.92,"Male","No relevent experience","no_enrollment","Primary School","No Major","5","Unknown","Other","never",35,"0","city_103",1413,FALSE,5,"0.920"
0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","Unknown","Other",">4",46,"0","city_114",22240,FALSE,25,"[0.921,0.949]"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","500-999","Public Sector",">4",94,"0","city_160",30363,FALSE,25,"0.920"
0.897,"Female","No relevent experience","Full time course","Masters","Humanities","5","Unknown","Public Sector","2",94,"0","city_136",10763,FALSE,5,"[0.878,0.920)"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","8","10000+","Pvt Ltd","2",170,"0","city_103",6505,FALSE,8,"0.920"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","Business Degree","16","50-99","Funded Startup","1",70,"0","city_103",3846,FALSE,16,"0.920"
0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","50-99","Funded Startup",">4",119,"0","city_103",4007,FALSE,25,"0.920"
0.624,"Male","Has relevent experience","Full time course","Graduate","STEM","2","50-99","Pvt Ltd","never",50,"1","city_21",16292,FALSE,2,"[0.448,0.691)"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","11","1000-4999","Pvt Ltd",">4",52,"0","city_160",20172,FALSE,11,"0.920"
0.55,"Other","Has relevent experience","Part time course","High School","No Major","16","50-99","Public Sector","2",146,"1","city_11",26403,FALSE,16,"[0.448,0.691)"
0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM",">20","Unknown","Other","2",32,"0","city_160",2391,FALSE,25,"0.920"
0.802,"Male","No relevent experience","no_enrollment","Graduate","Arts","11","50-99","Pvt Ltd",">4",48,"0","city_65",17575,FALSE,11,"[0.691,0.878)"
