"enrollee_id","city","city_development_index","gender","relevent_experience","enrolled_university","education_level","major_discipline","experience","company_size","company_type","last_new_job","training_hours","target"
29399,"city_160",0.92,"Male","No relevent experience","no_enrollment","Graduate","Humanities","8","100-500","Pvt Ltd","1",41,0
4486,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM","5","50-99","Pvt Ltd","1",56,1
15864,"city_67",0.855,"Male","Has relevent experience","Full time course","Graduate","STEM","7","10000+","Pvt Ltd","1",34,0
3396,"city_67",0.855,"Male","Has relevent experience","Part time course","Graduate","STEM","6","500-999","Pvt Ltd","never",102,0
16364,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM","9","100-500","Pvt Ltd",">4",36,1
32982,"city_75",0.939,"Male","Has relevent experience","no_enrollment","Phd","STEM","14","<10","Early Stage Startup","1",117,0
6074,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","50-99","Funded Startup","4",61,0
6104,"city_98",0.949,"Male","Has relevent experience","no_enrollment","Masters","STEM","5","100-500","Pvt Ltd","1",67,0
19128,"city_61",0.913,"Male","No relevent experience","Full time course","Graduate","STEM","4","","","",140,0
25049,"city_11",0.55,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","50-99","Pvt Ltd","1",24,0
13637,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM","9","100-500","Pvt Ltd","never",122,0
6115,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","100-500","Pvt Ltd","1",116,0
25725,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Masters","Humanities","6","10000+","Public Sector","1",9,0
13723,"city_53",0.74,"Male","No relevent experience","","Graduate","STEM","4","<10","Early Stage Startup","never",228,1
7771,"city_21",0.624,"","No relevent experience","Full time course","Graduate","STEM","<1","","","never",80,0
8630,"city_105",0.794,"","No relevent experience","Part time course","Graduate","STEM","1","50-99","Pvt Ltd","1",9,0
9365,"city_65",0.802,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15","<10","Pvt Ltd",">4",36,0
24731,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","Arts","9","100-500","Pvt Ltd","2",75,0
15687,"city_102",0.804,"Male","Has relevent experience","no_enrollment","Masters","STEM","13","50-99","Funded Startup","1",330,0
29780,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Graduate","Other","17","1000-4999","Pvt Ltd","2",46,0
22821,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","100-500","Public Sector","3",37,0
26558,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","10000+","Pvt Ltd","3",68,1
21906,"city_160",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","50-99","Pvt Ltd","3",7,1
15616,"city_36",0.893,"","Has relevent experience","no_enrollment","High School","",">20","100-500","Pvt Ltd",">4",12,0
15915,"city_160",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","50-99","Pvt Ltd",">4",170,0
9120,"city_21",0.624,"Male","No relevent experience","Full time course","Graduate","STEM","2","","","never",31,0
1458,"city_83",0.923,"","Has relevent experience","no_enrollment","Masters","STEM","9","10000+","Pvt Ltd",">4",6,1
32144,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM","14","","","2",64,0
17622,"city_21",0.624,"","Has relevent experience","no_enrollment","Graduate","STEM","13","10000+","Pvt Ltd","1",136,1
31848,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM","7","10000+","Pvt Ltd","1",44,0
21334,"city_21",0.624,"","Has relevent experience","","Graduate","STEM","4","10/49","Pvt Ltd","never",89,0
25264,"city_102",0.804,"","Has relevent experience","no_enrollment","Masters","STEM","15","","Pvt Ltd","1",64,0
4708,"city_20",0.796,"Male","Has relevent experience","Full time course","Graduate","Arts","9","","Funded Startup","1",29,0
4080,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","11","100-500","Pvt Ltd","1",10,1
13090,"city_67",0.855,"Male","No relevent experience","","High School","","4","","","never",63,0
16980,"city_16",0.91,"Male","No relevent experience","no_enrollment","High School","","5","","","never",66,0
27121,"city_71",0.884,"","No relevent experience","no_enrollment","Graduate","Business Degree","16","","",">4",80,0
26250,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","5","1000-4999","Pvt Ltd","1",106,0
24259,"city_21",0.624,"","Has relevent experience","no_enrollment","Masters","STEM","4","50-99","Pvt Ltd","2",57,1
13295,"city_74",0.579,"","No relevent experience","Full time course","High School","","4","","","never",38,0
24121,"city_100",0.887,"Male","Has relevent experience","no_enrollment","Graduate","STEM","18","50-99","Pvt Ltd","3",34,0
29783,"city_21",0.624,"","No relevent experience","Full time course","High School","","3","","","1",35,1
24919,"city_21",0.624,"Male","Has relevent experience","Full time course","","","2","50-99","Pvt Ltd","1",99,0
32748,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","16","","",">4",28,0
1823,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","11","10000+","Pvt Ltd","1",57,1
6018,"city_114",0.926,"Male","Has relevent experience","Full time course","Masters","STEM","11","50-99","Pvt Ltd","1",24,0
29912,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","Other","5","<10","Pvt Ltd","1",214,0
15931,"city_83",0.923,"Male","No relevent experience","Full time course","Graduate","STEM","4","","","1",8,1
14492,"city_21",0.624,"","Has relevent experience","","Masters","STEM","3","10/49","Early Stage Startup","2",96,1
20531,"city_136",0.897,"Male","Has relevent experience","no_enrollment","Masters","STEM","18","5000-9999","Pvt Ltd",">4",41,0
23694,"city_143",0.74,"Male","No relevent experience","no_enrollment","Graduate","STEM","3","10000+","Pvt Ltd","3",92,0
29385,"city_46",0.762,"Male","Has relevent experience","no_enrollment","Graduate","STEM","8","10000+","Pvt Ltd","1",16,0
27914,"city_28",0.939,"Male","No relevent experience","Part time course","High School","","2","10/49","Pvt Ltd","1",90,0
19513,"city_143",0.74,"Male","No relevent experience","no_enrollment","Graduate","STEM","11","50-99","Pvt Ltd","2",53,1
9126,"city_21",0.624,"","No relevent experience","no_enrollment","Graduate","No Major","15","","","never",18,0
29017,"city_61",0.913,"","Has relevent experience","no_enrollment","Masters","Arts","4","500-999","Pvt Ltd","1",194,0
22048,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","<10","Pvt Ltd","4",105,0
6513,"city_101",0.558,"Male","Has relevent experience","no_enrollment","High School","","6","<10","Pvt Ltd","1",30,0
868,"city_83",0.923,"Male","Has relevent experience","no_enrollment","Graduate","STEM","14","1000-4999","Pvt Ltd","3",330,0
31757,"city_23",0.899,"Male","Has relevent experience","no_enrollment","Graduate","STEM","12","100-500","Pvt Ltd","1",39,0
26421,"city_21",0.624,"Male","No relevent experience","no_enrollment","High School","","6","","","1",126,0
14793,"city_116",0.743,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","1000-4999","Pvt Ltd","3",178,0
17410,"city_24",0.698,"Male","Has relevent experience","no_enrollment","Masters","STEM","9","100-500","Pvt Ltd","2",48,0
17447,"city_36",0.893,"","Has relevent experience","Part time course","Graduate","STEM","11","10000+","",">4",67,0
22860,"city_67",0.855,"Male","No relevent experience","Part time course","Graduate","STEM","4","100-500","Pvt Ltd","1",78,0
32542,"city_64",0.666,"Other","Has relevent experience","no_enrollment","High School","",">20","<10","Pvt Ltd","never",76,0
337,"city_103",0.92,"Male","No relevent experience","no_enrollment","Masters","Business Degree",">20","1000-4999","Pvt Ltd","3",16,0
4651,"city_90",0.698,"","No relevent experience","Full time course","Masters","STEM","7","","","2",158,0
9836,"city_104",0.924,"Male","Has relevent experience","no_enrollment","Graduate","STEM","16","50-99","Pvt Ltd","2",78,0
17355,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","Humanities","4","100-500","Pvt Ltd","1",60,0
15148,"city_55",0.739,"Male","Has relevent experience","Part time course","Graduate","STEM","12","100-500","Pvt Ltd","2",64,0
6945,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","10000+","Public Sector",">4",94,0
24129,"city_136",0.897,"","Has relevent experience","no_enrollment","Masters","STEM","6","10000+","Pvt Ltd","never",126,0
16967,"city_142",0.727,"Male","No relevent experience","Full time course","Primary School","","7","","","1",22,1
6505,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","8","10000+","Pvt Ltd","2",170,0
29377,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM","14","50-99","Pvt Ltd","never",22,1
11933,"city_136",0.897,"Male","No relevent experience","Full time course","Graduate","STEM","2","","","1",46,1
20355,"city_21",0.624,"","Has relevent experience","no_enrollment","Graduate","STEM","11","100-500","Pvt Ltd","2",106,1
24520,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","7","<10","","1",192,0
3136,"city_83",0.923,"Male","No relevent experience","no_enrollment","Graduate","STEM","14","1000-4999","Pvt Ltd",">4",84,0
7670,"city_103",0.92,"","No relevent experience","Full time course","Graduate","STEM","9","","","1",28,1
1545,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","7","50-99","Pvt Ltd","4",55,0
6737,"city_71",0.884,"","Has relevent experience","Part time course","Masters","STEM","10","100-500","","3",7,0
12897,"city_84",0.698,"Male","No relevent experience","Full time course","Graduate","STEM","1","","","1",81,1
20937,"city_104",0.924,"Male","No relevent experience","no_enrollment","Masters","STEM","14","10000+","Pvt Ltd","1",53,0
15782,"city_103",0.92,"","No relevent experience","no_enrollment","Graduate","STEM","16","100-500","Pvt Ltd","1",23,0
21007,"city_103",0.92,"","Has relevent experience","no_enrollment","Graduate","STEM","9","100-500","Pvt Ltd","1",135,0
4009,"city_65",0.802,"Male","No relevent experience","Full time course","Graduate","STEM","4","","","never",134,0
24915,"city_21",0.624,"Male","Has relevent experience","Full time course","Graduate","STEM","6","10/49","Pvt Ltd","1",232,1
27663,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","<10","Pvt Ltd","1",24,0
11250,"city_114",0.926,"","No relevent experience","Full time course","Graduate","STEM","4","10000+","NGO","1",68,0
2909,"city_64",0.666,"Male","Has relevent experience","no_enrollment","Graduate","STEM","7","50-99","Pvt Ltd","3",280,0
7870,"city_104",0.924,"","Has relevent experience","no_enrollment","Graduate","STEM","11","10000+","Pvt Ltd","2",19,0
18001,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","100-500","","1",38,0
2969,"city_105",0.794,"Male","Has relevent experience","Part time course","Graduate","STEM","5","50-99","","1",28,0
19835,"city_114",0.926,"Male","No relevent experience","no_enrollment","High School","","5","50-99","Pvt Ltd","1",62,0
29725,"city_40",0.776,"Male","No relevent experience","no_enrollment","Graduate","STEM","15","50-99","Pvt Ltd",">4",47,0
25194,"city_10",0.895,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","","","4",20,0
32294,"city_103",0.92,"Other","No relevent experience","no_enrollment","Primary School","","3","","","never",136,1
11382,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","Humanities","10","10000+","Pvt Ltd","2",7,0
22267,"city_138",0.836,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","","","1",24,0
28727,"city_36",0.893,"Male","No relevent experience","Full time course","Primary School","","9","","","1",28,0
24239,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","11","10000+","Pvt Ltd","2",124,0
28524,"city_21",0.624,"Male","No relevent experience","Full time course","Graduate","STEM","2","","","never",12,1
14885,"city_103",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM","6","","",">4",64,1
18754,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","","",">4",123,0
27288,"city_16",0.91,"Male","Has relevent experience","no_enrollment","High School","","5","<10","Early Stage Startup","1",98,1
5727,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","Business Degree",">20","50-99","Pvt Ltd",">4",68,0
15544,"city_21",0.624,"","No relevent experience","Full time course","High School","","1","","","never",166,1
33310,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","3","10000+","Pvt Ltd","1",47,0
28037,"city_102",0.804,"Male","Has relevent experience","no_enrollment","Phd","STEM","19","500-999","Pvt Ltd","2",72,0
28840,"city_162",0.767,"Male","No relevent experience","Full time course","High School","","5","","","never",9,0
31474,"city_127",0.745,"Male","No relevent experience","Full time course","Graduate","STEM","3","","Pvt Ltd","never",91,0
31509,"city_102",0.804,"Male","Has relevent experience","no_enrollment","Masters","STEM","8","","","1",111,1
24002,"city_149",0.689,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","50-99","Funded Startup","1",52,0
16906,"city_114",0.926,"Male","No relevent experience","no_enrollment","Phd","STEM",">20","","",">4",16,0
25043,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","Other",">20","100-500","Pvt Ltd","4",95,0
26046,"city_160",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15","","","3",14,1
10821,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Masters","STEM","6","","","4",15,0
21212,"city_103",0.92,"","No relevent experience","no_enrollment","Masters","STEM","1","","","never",81,1
25611,"city_21",0.624,"","No relevent experience","","Graduate","STEM","2","","","never",180,1
13186,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","8","","","4",89,1
12444,"city_103",0.92,"Female","No relevent experience","no_enrollment","Graduate","Humanities","2","<10","Early Stage Startup","2",54,0
10741,"city_21",0.624,"Female","Has relevent experience","no_enrollment","Graduate","STEM","2","50-99","Pvt Ltd","1",84,0
23455,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","10000+","Pvt Ltd","4",49,1
1311,"city_67",0.855,"","No relevent experience","Full time course","Graduate","STEM","3","","","1",78,1
32157,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","18","","","never",116,1
30079,"city_160",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15","5000-9999","Pvt Ltd","2",92,0
2977,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","10/49","Pvt Ltd",">4",214,0
24181,"city_7",0.647,"Male","Has relevent experience","Part time course","Masters","STEM","11","10/49","","never",24,0
7251,"city_67",0.855,"Male","No relevent experience","no_enrollment","Masters","STEM","6","<10","Pvt Ltd",">4",246,0
5697,"city_61",0.913,"Female","Has relevent experience","no_enrollment","Graduate","STEM",">20","100-500","","1",9,0
14543,"city_114",0.926,"Male","No relevent experience","no_enrollment","High School","","6","<10","Funded Startup","2",182,0
8605,"city_59",0.775,"","Has relevent experience","Full time course","Graduate","STEM","8","50-99","Pvt Ltd","",164,0
8483,"city_103",0.92,"Male","Has relevent experience","no_enrollment","","","10","50-99","Funded Startup",">4",20,0
25305,"city_114",0.926,"","No relevent experience","Full time course","Graduate","STEM","3","1000-4999","Pvt Ltd","never",60,0
6974,"city_136",0.897,"","No relevent experience","Full time course","Masters","STEM","8","","","1",51,0
3026,"city_102",0.804,"Male","Has relevent experience","no_enrollment","Graduate","STEM","17","","","1",75,0
5035,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Masters","STEM","14","100-500","Pvt Ltd","1",33,0
29834,"city_21",0.624,"Male","Has relevent experience","Part time course","Graduate","STEM","7","10000+","Pvt Ltd","3",204,1
17344,"city_75",0.939,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15","","",">4",34,1
6241,"city_21",0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM","6","50-99","Pvt Ltd","1",56,0
3899,"city_138",0.836,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","","","never",19,0
9543,"city_30",0.698,"Male","Has relevent experience","no_enrollment","Graduate","STEM","8","100-500","Pvt Ltd",">4",17,0
12966,"city_100",0.887,"Male","Has relevent experience","no_enrollment","Graduate","STEM","17","50-99","Other",">4",105,0
11826,"city_160",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","14","50-99","Pvt Ltd","1",48,0
6832,"city_64",0.666,"","Has relevent experience","no_enrollment","Graduate","STEM","6","50-99","Funded Startup","1",29,0
22169,"city_31",0.807,"","Has relevent experience","no_enrollment","Graduate","STEM",">20","","","4",37,0
6321,"city_162",0.767,"","Has relevent experience","no_enrollment","Masters","STEM","15","","",">4",46,1
23415,"city_10",0.895,"Male","Has relevent experience","Part time course","Masters","STEM","9","<10","Funded Startup","2",26,0
101,"city_136",0.897,"Male","Has relevent experience","no_enrollment","Masters","STEM","19","10/49","Funded Startup","3",12,0
17032,"city_103",0.92,"Male","No relevent experience","no_enrollment","High School","","3","","","2",12,0
17577,"city_65",0.802,"Male","Has relevent experience","","Graduate","STEM","8","50-99","Pvt Ltd","1",59,0
17003,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","20","10000+","Pvt Ltd",">4",78,0
24893,"city_89",0.925,"Male","Has relevent experience","no_enrollment","Graduate","STEM","9","10/49","Funded Startup","2",42,1
21412,"city_61",0.913,"Male","Has relevent experience","no_enrollment","Graduate","Humanities",">20","","","never",42,0
7721,"city_98",0.949,"","Has relevent experience","no_enrollment","Graduate","STEM",">20","<10","Funded Startup","2",35,0
914,"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","8","100-500","Pvt Ltd",">4",87,0
25375,"city_136",0.897,"","Has relevent experience","no_enrollment","High School","",">20","1000-4999","Pvt Ltd",">4",102,0
27704,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","10/49","Pvt Ltd","never",55,0
30129,"city_16",0.91,"Male","No relevent experience","Full time course","High School","","5","","","1",34,1
10793,"city_16",0.91,"Male","Has relevent experience","Full time course","Graduate","STEM","9","","","1",55,1
31691,"city_102",0.804,"Male","Has relevent experience","no_enrollment","Masters","STEM","10","100-500","Pvt Ltd",">4",32,0
33049,"city_99",0.915,"Male","Has relevent experience","no_enrollment","Graduate","STEM","9","10/49","Pvt Ltd","1",20,0
28013,"city_118",0.722,"Male","Has relevent experience","Full time course","Graduate","STEM","5","50-99","","1",36,0
27758,"city_103",0.92,"","Has relevent experience","no_enrollment","Graduate","STEM","","<10","Pvt Ltd",">4",19,0
7113,"city_102",0.804,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","50-99","Pvt Ltd","1",37,0
12798,"city_103",0.92,"Male","Has relevent experience","no_enrollment","High School","","14","50-99","Pvt Ltd","4",94,0
26945,"city_114",0.926,"Male","Has relevent experience","Full time course","Graduate","STEM","8","50-99","Pvt Ltd","1",41,0
25407,"city_114",0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","<10","Pvt Ltd",">4",30,0
8815,"city_160",0.92,"Male","Has relevent experience","Full time course","Graduate","STEM","8","","","1",37,1
13046,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","Arts",">20","","","2",110,0
9947,"city_160",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","","",">4",42,0
18506,"city_21",0.624,"Male","Has relevent experience","Full time course","Masters","STEM","1","50-99","Pvt Ltd","1",22,0
20487,"city_71",0.884,"","Has relevent experience","no_enrollment","Masters","STEM","3","50-99","Pvt Ltd","1",70,0
13974,"city_36",0.893,"Male","Has relevent experience","no_enrollment","Masters","STEM",">20","50-99","Pvt Ltd","1",40,0
1991,"city_24",0.698,"","Has relevent experience","Part time course","High School","","4","100-500","Pvt Ltd","2",44,0
19731,"city_114",0.926,"","Has relevent experience","Full time course","Graduate","STEM","6","<10","Pvt Ltd","1",128,0
17364,"city_128",0.527,"Male","No relevent experience","no_enrollment","Graduate","Other","5","","","1",17,1
31397,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","<10","Pvt Ltd",">4",12,0
20654,"city_21",0.624,"","Has relevent experience","no_enrollment","Masters","STEM","4","50-99","Pvt Ltd","2",42,1
32758,"city_160",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM","13","500-999","Pvt Ltd","3",23,0
28531,"city_126",0.479,"Male","No relevent experience","Full time course","Masters","Other","1","10/49","Other","",23,1
12327,"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",">20","","",">4",18,0
20417,"city_102",0.804,"Female","Has relevent experience","no_enrollment","Graduate","STEM","13","50-99","Pvt Ltd",">4",26,0
24901,"city_114",0.926,"Male","No relevent experience","no_enrollment","","","3","","","never",47,0
5174,"city_103",0.92,"Male","Has relevent experience","Full time course","Graduate","STEM","7","500-999","Pvt Ltd","1",15,0
